,OPTION,MEAL,MENU ITEM,INGREDIENTS,text
21,VEGETARIAN,Wednesday Sprints Lunch,Tofu Curry,"Tofu, Rice, Curry, Tumeric","VEGETARIAN, Wednesday Sprints Lunch, Tofu Curry, Tofu, Rice, Curry, Tumeric"
22,VEGETARIAN,Thursday Sprints Lunch,Roasted Chickpea & Vegetable Bowl,"Chickepeas, Assorted Vegetables, Pickled Red Onion, Rice","VEGETARIAN, Thursday Sprints Lunch, Roasted Chickpea & Vegetable Bowl, Chickepeas, Assorted Vegetables, Pickled Red Onion, Rice"
23,VEGAN,Wednesday Tutorial Lunch,Vegan Power Bowl -,"Butternut Squash, Roasted Beet Medley, Walnuts, Craisins, Winter Greens, Balsamic Vinaigrette","VEGAN, Wednesday Tutorial Lunch, Vegan Power Bowl -, Butternut Squash, Roasted Beet Medley, Walnuts, Craisins, Winter Greens, Balsamic Vinaigrette"
24,VEGAN,Thursday Tutorial Lunch,Marinated Tofu Stir Fry,"Marinated Tofu, Stir Fried Vegetables, Rice, (GF) Teriyaki Sauce","VEGAN, Thursday Tutorial Lunch, Marinated Tofu Stir Fry, Marinated Tofu, Stir Fried Vegetables, Rice, (GF) Teriyaki Sauce"
25,VEGAN,Friday Conference Breakfast,Roasted Vegetable Tofu Burrito,"Tofu, Roasted Vegetables, Vegan Cheese, Flour Tortilla","VEGAN, Friday Conference Breakfast, Roasted Vegetable Tofu Burrito, Tofu, Roasted Vegetables, Vegan Cheese, Flour Tortilla"
26,VEGAN,Friday Conference Lunch,Crispy Chickpea & Roasted Vegetable Salad,"Vegetables, Chickpeas, Balsamic Vinaigrette","VEGAN, Friday Conference Lunch, Crispy Chickpea & Roasted Vegetable Salad, Vegetables, Chickpeas, Balsamic Vinaigrette"
27,VEGAN,Saturday Conference Breakfast,Portobello Breakfast Sandwich,"Vegan Egg, Portobello Mushroom, English Muffin","VEGAN, Saturday Conference Breakfast, Portobello Breakfast Sandwich, Vegan Egg, Portobello Mushroom, English Muffin"
28,VEGAN,Saturday Conference Lunch,Crispy Chickpea & Roasted Vegetable Wrap,"Chickpeas, Vegan Cheese, Mixed Roasted Vegetables, Spinach Wrap","VEGAN, Saturday Conference Lunch, Crispy Chickpea & Roasted Vegetable Wrap, Chickpeas, Vegan Cheese, Mixed Roasted Vegetables, Spinach Wrap"
29,VEGAN,Sunday Conference Breakfast,"Tofu, Potato, & Vegetable Hash","Tofu, Potato, Vegetables","VEGAN, Sunday Conference Breakfast, Tofu, Potato, & Vegetable Hash, Tofu, Potato, Vegetables"
30,VEGAN,Sunday Conference Lunch,Chickenless Cacciatore,"Vegan Chicken, Onions, Mixed peppers, Marinaria sauce","VEGAN, Sunday Conference Lunch, Chickenless Cacciatore, Vegan Chicken, Onions, Mixed peppers, Marinaria sauce"
31,VEGAN,Monday Sprints Lunch,Black Bean Burger,"Hamburger Bun, Black Bean Burger, Cheese Assortment, Lettuce, Tomato, Onion, Ketchup, Mayonnaise, Mustard","VEGAN, Monday Sprints Lunch, Black Bean Burger, Hamburger Bun, Black Bean Burger, Cheese Assortment, Lettuce, Tomato, Onion, Ketchup, Mayonnaise, Mustard"
32,VEGAN,Wednesday Sprints Lunch,Tofu Curry Bowl,"Tofu, Rice, Curry, Tumeric","VEGAN, Wednesday Sprints Lunch, Tofu Curry Bowl, Tofu, Rice, Curry, Tumeric"
33,VEGAN,Thursday Sprints Lunch,Roasted Chickpea & Vegetable Bowl,"Chickpeas, Assorted Vegetables, Pickled Red Onion, Rice","VEGAN, Thursday Sprints Lunch, Roasted Chickpea & Vegetable Bowl, Chickpeas, Assorted Vegetables, Pickled Red Onion, Rice"
34,GF,Wednesday Tutorial Lunch,Greek Chicken Power Bowl,"Chicken, Cucumber, Tomato, Red Onion, Chickpeas, Feta, Quinoa, Greek Vinaigrette","GF, Wednesday Tutorial Lunch, Greek Chicken Power Bowl, Chicken, Cucumber, Tomato, Red Onion, Chickpeas, Feta, Quinoa, Greek Vinaigrette"
35,GF,Thursday Tutorial Lunch,Ginger Steak & Quinoa Salad (Gluten Free),"Beef, Romaine, Endive, Red Lead Lettuce, Quinoa, Carrots, Green Onions, Asparagus, Green Olives, Pickled Red Onion, Lemon Oregano Vinaigrette, Parsley, Garlic, Thyme, Rosemary, Olive Oil, Rice Vinegar, Chili Flakes","GF, Thursday Tutorial Lunch, Ginger Steak & Quinoa Salad (Gluten Free), Beef, Romaine, Endive, Red Lead Lettuce, Quinoa, Carrots, Green Onions, Asparagus, Green Olives, Pickled Red Onion, Lemon Oregano Vinaigrette, Parsley, Garlic, Thyme, Rosemary, Olive Oil, Rice Vinegar, Chili Flakes"
36,GF,Friday Conference Breakfast,Turkey Sausage & Egg Burrito,"Turkey Sausage, Egg, Cheese, Flour Tortilla Wrap","GF, Friday Conference Breakfast, Turkey Sausage & Egg Burrito, Turkey Sausage, Egg, Cheese, Flour Tortilla Wrap"
37,GF,Friday Conference Lunch,"Grilled Chicken, Broccoli, Potato Alfredo Bowl","Herb Grilled Chicken, Baked Potato, Sour Cream, Bacon, Roasted Broccoli","GF, Friday Conference Lunch, Grilled Chicken, Broccoli, Potato Alfredo Bowl, Herb Grilled Chicken, Baked Potato, Sour Cream, Bacon, Roasted Broccoli"
38,GF,Saturday Conference Breakfast,Bacon & Egg Sandwich,"Bacon, Egg, Cheese, Gluten Free Bread","GF, Saturday Conference Breakfast, Bacon & Egg Sandwich, Bacon, Egg, Cheese, Gluten Free Bread"
39,GF,Saturday Conference Lunch,"California Turkey Wrap (Gluten Free Wrap), Chips, Whole Fruit, & Cookie","Turkey Breast, Bacon, Provolone Cheese, Red Onion, Arugula, Chipotle Ranch, GF Wrap, Fruit, GF/V Cookie","GF, Saturday Conference Lunch, California Turkey Wrap (Gluten Free Wrap), Chips, Whole Fruit, & Cookie, Turkey Breast, Bacon, Provolone Cheese, Red Onion, Arugula, Chipotle Ranch, GF Wrap, Fruit, GF/V Cookie"
40,GF,Sunday Conference Breakfast,"Sausage, Egg, Potato, & Vegetable Hash","Pork Sausage, Egg, Cheese, Potato, Vegetables","GF, Sunday Conference Breakfast, Sausage, Egg, Potato, & Vegetable Hash, Pork Sausage, Egg, Cheese, Potato, Vegetables"
41,GF,Sunday Conference Lunch,"Garlic Thyme Roasted Chicken, Roasted Fingerling Potatoes, Braised Carrots","Chicken, Garlic, Thyme, Potatoes, Carrots, Olive Oil, Lemon Lemon Juice","GF, Sunday Conference Lunch, Garlic Thyme Roasted Chicken, Roasted Fingerling Potatoes, Braised Carrots, Chicken, Garlic, Thyme, Potatoes, Carrots, Olive Oil, Lemon Lemon Juice"
42,GF,Monday Sprints Lunch,Cheese Burger (Gluten Free Bun) & Tots,"Gluten Free Bun, Beef, Cheese, Ketchup, Mustard, Mayo, Lettuce, Tomato, Onion, Potato Tots","GF, Monday Sprints Lunch, Cheese Burger (Gluten Free Bun) & Tots, Gluten Free Bun, Beef, Cheese, Ketchup, Mustard, Mayo, Lettuce, Tomato, Onion, Potato Tots"
43,GF,Tuesday Sprints Lunch,Chicken Asian Noodle Bowl,"Sesame, Chicken, Rice Noodles, Bean Sprouts, Carrots, Ginger, Cucumber, Asian Vinaigrette, Sesame Oil, Soy","GF, Tuesday Sprints Lunch, Chicken Asian Noodle Bowl, Sesame, Chicken, Rice Noodles, Bean Sprouts, Carrots, Ginger, Cucumber, Asian Vinaigrette, Sesame Oil, Soy"
44,GF,Wednesday Sprints Lunch,Tofu Curry Bowl,"Tofu, Rice, Curry, Tumeric","GF, Wednesday Sprints Lunch, Tofu Curry Bowl, Tofu, Rice, Curry, Tumeric"
45,GF,Thursday Sprints Lunch,Chicken Fajita Bowl,"Chicken, Bell Peppers, Onion, Rice, Beans","GF, Thursday Sprints Lunch, Chicken Fajita Bowl, Chicken, Bell Peppers, Onion, Rice, Beans"
46,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Wednesday Tutorial Lunch,Grilled Chicken Power Bowl,"Mixed Greens, Cucumbers, Black Olives, Tomatoes, Red Onion, Vidalia Onion Vinaigrette, Roll, Pareve Spread","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Wednesday Tutorial Lunch, Grilled Chicken Power Bowl, Mixed Greens, Cucumbers, Black Olives, Tomatoes, Red Onion, Vidalia Onion Vinaigrette, Roll, Pareve Spread"
47,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Thursday Tutorial Lunch,Chicken Stir Fry,"Onions, Peppers, Mushrooms, Snap Peas, Black Pepper, Soy Sayce, Lemon Rice","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Thursday Tutorial Lunch, Chicken Stir Fry, Onions, Peppers, Mushrooms, Snap Peas, Black Pepper, Soy Sayce, Lemon Rice"
48,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Friday Conference Breakfast,Vegetable Scramble,"Egg, Spinach, Mushroom, Tomatoe Hashbrowns, Ketchup, Bagel (Poppy Seeds, Sesame Seeds, Salt, Garlic, Onion)","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Friday Conference Breakfast, Vegetable Scramble, Egg, Spinach, Mushroom, Tomatoe Hashbrowns, Ketchup, Bagel (Poppy Seeds, Sesame Seeds, Salt, Garlic, Onion)"
49,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Friday Conference Lunch,Deli Turkey Sandwich,"Turkey, Ciabatta Bun, Lettuce, Beet Horseradish Spread, Potato Chips","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Friday Conference Lunch, Deli Turkey Sandwich, Turkey, Ciabatta Bun, Lettuce, Beet Horseradish Spread, Potato Chips"
50,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Saturday Conference Breakfast,Continental Breakfast,"Muffin, Bagel (Poppy Seeds, Sesame Seeds, Salt, Garlic, Onion), Smoked Salmon, Pareve Cream Cheese Spread","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Saturday Conference Breakfast, Continental Breakfast, Muffin, Bagel (Poppy Seeds, Sesame Seeds, Salt, Garlic, Onion), Smoked Salmon, Pareve Cream Cheese Spread"
51,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Saturday Conference Lunch,Tuna Sandwich on Ciabatta Bread & Chips,"Tuna, Ciabatta Roll, Potato Chips","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Saturday Conference Lunch, Tuna Sandwich on Ciabatta Bread & Chips, Tuna, Ciabatta Roll, Potato Chips"
52,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Sunday Conference Breakfast,Vegetable Scramble,"Egg, Spinach, Mushroom, Tomatoe Hashbrowns, Ketchup, Bagel (Poppy Seeds, Sesame Seeds, Salt, Garlic, Onion)","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Sunday Conference Breakfast, Vegetable Scramble, Egg, Spinach, Mushroom, Tomatoe Hashbrowns, Ketchup, Bagel (Poppy Seeds, Sesame Seeds, Salt, Garlic, Onion)"
53,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Sunday Conference Lunch,"Chicken Schnitzel w/Lemon- Thyme Caper Sauce, Roll, Pareve Spread","Chicken, Lemon, Thyme, Caper, Roll, Pareve Spread","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Sunday Conference Lunch, Chicken Schnitzel w/Lemon- Thyme Caper Sauce, Roll, Pareve Spread, Chicken, Lemon, Thyme, Caper, Roll, Pareve Spread"
54,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Monday Sprints Lunch,Deli Turkey Sandwich on Ciabatta Bun with Chips,"Turkey, Ciabatta Bun, Lettuce, Beet Horseradish Spread, Potato Chips","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Monday Sprints Lunch, Deli Turkey Sandwich on Ciabatta Bun with Chips, Turkey, Ciabatta Bun, Lettuce, Beet Horseradish Spread, Potato Chips"
55,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Tuesday Sprints Lunch,"Grilled Chicken Power Salad, Roll, Pareve Spread","Chicken Mixed Greens, Cucumbers, black lives, Tomatoes, Red Onion, Vidalia Onion Vinaigrette","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Tuesday Sprints Lunch, Grilled Chicken Power Salad, Roll, Pareve Spread, Chicken Mixed Greens, Cucumbers, black lives, Tomatoes, Red Onion, Vidalia Onion Vinaigrette"
56,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Wednesday Sprints Lunch,Chicken Stir Fry,"Onions, Peppers, Mushrooms, Snap Peas, Black Pepper, Soy Sayce, Lemon Rice","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Wednesday Sprints Lunch, Chicken Stir Fry, Onions, Peppers, Mushrooms, Snap Peas, Black Pepper, Soy Sayce, Lemon Rice"
57,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Thursday Sprints Lunch,Baked Portobello Cap Bowl,"Portobello Mushroom, Zucchini or Summer Squash, Basil Pesto, Blasamic Reduction, Wild Rice, Ancient Grains","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Thursday Sprints Lunch, Baked Portobello Cap Bowl, Portobello Mushroom, Zucchini or Summer Squash, Basil Pesto, Blasamic Reduction, Wild Rice, Ancient Grains"
58,KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher,Monday SprintsLunch,Green Bean Nicoise Salad,"Romaine, Green Beans, New Potaotes, Radish, Kalamata Olives, Boiled Egg, Honey Dijon, Olive Oil, Capers, Lemon, Dill, Shallots","KOSHER *Kosher mals are provided by a separate vendor and ingredients are subject to change but guaranteed kosher, Monday SprintsLunch, Green Bean Nicoise Salad, Romaine, Green Beans, New Potaotes, Radish, Kalamata Olives, Boiled Egg, Honey Dijon, Olive Oil, Capers, Lemon, Dill, Shallots"
